stage,mean,sd,range,n
flrs,20.616071428571427,8.612002451758025,0-48,112
dev_frts,3.0267857142857144,3.3462627302670453,0-12,112
frts_collected,3.6451612903225805,2.8635457453747875,1-12,62
sds_collected,6.765625,6.1766127962598265,1-30,64
sds_per_frt,1.8190354000837872,0.5601181907728828,0.5-3,62
