plant_id,trt,shoots,ht,lvs,total_la,flrs,dev_frts,frts_collected,sds_collected,sds_per_frt,yr,mo
170,control,4,97,NA,1734.3393,20,3,3,7,2.3333333333333335,1998,01
169,fert,6,NA,NA,2589.3219,17,3,NA,NA,NA,1998,01
187,fert_pollen,5,85,NA,4224.388150000001,30,4,1,3,3,1998,01
116,fert_pollen,5,66,NA,3468.235021,18,4,2,5,2.5,1998,01
174,fert,7,113,NA,3405.802691,21,4,3,4,1.3333333333333333,1998,01
137,fert_pollen,10,64,NA,3703.142869,20,4,3,5,1.6666666666666667,1998,01
130,fert_pollen,4,63,NA,1532.8712,17,4,3,6,2,1998,01
172,control,6,107,NA,2796.0668539999997,23,4,4,8,2,1998,01
144,fert,4,51,NA,1346.3467,16,4,4,9,2.25,1998,01
190,pollen,4,128,NA,3671.37712,42,4,NA,NA,NA,1998,01
136,fert,4,54,NA,1495.0819000000001,17,5,2,3,1.5,1998,01
177,fert,4,49,NA,985.9183700000001,15,5,3,4,1.3333333333333333,1998,01
166,pollen,6,NA,NA,2171.5064,16,5,3,6,2,1998,01
173,pollen,5,89,NA,3315.3284400000002,33,5,3,8,2.6666666666666665,1998,01
106,control,5,122,NA,4076.883317,35,5,4,6,1.5,1998,01
152,pollen,5,74,NA,2912.2825000000003,15,5,5,9,1.8,1998,01
201,fert,5,62,NA,1957.274436,17,5,5,9,1.8,1998,01
142,pollen,4,79,NA,2236.6277,14,5,5,10,2,1998,01
103,control,3,81,NA,2413.1405,15,6,6,10,1.6666666666666667,1998,01
79,pollen,5,63,NA,2438.501422,29,6,NA,4,NA,1998,01
120,pollen,6,98,NA,5199.0733,35,6,NA,NA,NA,1998,01
197,control,2,88,NA,1916.742851,25,7,7,10,1.4285714285714286,1998,01
195,fert,3,97,NA,2677.356288,38,7,7,11,1.5714285714285714,1998,01
168,fert,4,141,NA,5656.833012,21,7,7,14,2,1998,01
104,control,5,NA,NA,2799.0312500000005,23,7,NA,NA,NA,1998,01
154,control,4,75,NA,3038.085272,26,8,3,5,1.6666666666666667,1998,01
101,pollen,4,111,NA,1368.8226789999999,22,8,7,12,1.7142857142857142,1998,01
207,fert,4,88,NA,2251.9967149999998,14,8,8,14,1.75,1998,01
167,fert,7,108,NA,3581.7418900000002,42,9,3,6,2,1998,01
194,control,5,82,NA,1975.188483,48,9,9,15,1.6666666666666667,1998,01
150,pollen,4,88,NA,1829.2508400000002,30,10,8,12,1.5,1998,01
135,fert_pollen,4,88,NA,2772.9262900000003,30,10,9,15,1.6666666666666667,1998,01
115,control,5,69,NA,4343.746423,45,10,NA,NA,NA,1998,01
153,fert,6,49,NA,2002.0784,17,11,11,26,2.3636363636363638,1998,01
198,fert,6,60,NA,3254.2754,30,11,11,30,2.727272727272727,1998,01
138,pollen,6,78,NA,3484.756911,34,12,3,4,1.3333333333333333,1998,01
151,fert_pollen,27,95,NA,9821.753891999999,25,12,6,15,2.5,1998,01
139,fert,4,117,NA,2037.81426,18,12,8,15,1.875,1998,01
105,control,12,85,NA,6918.5317239999995,44,12,12,26,2.1666666666666665,1998,01
108,fert_pollen,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998,01
12,fert_pollen,11,93,19,3207.8,NA,NA,NA,NA,NA,1998,08
79,pollen,5,109,11,2253.8,NA,NA,NA,NA,NA,1998,08
99,fert,4,110,13,2871.8,NA,NA,NA,NA,NA,1998,08
101,pollen,6,105,13,2031.5,NA,NA,NA,NA,NA,1998,08
102,control,3,85,8,2134.9,NA,NA,NA,NA,NA,1998,08
103,control,4,80,7,1203,NA,NA,NA,NA,NA,1998,08
104,control,5,82,18,3381.9,NA,NA,NA,NA,NA,1998,08
105,control,18,77,49,7652.6,NA,NA,NA,NA,NA,1998,08
106,control,5,144,18,4584.3,NA,NA,NA,NA,NA,1998,08
107,control,3,85,5,689,NA,NA,NA,NA,NA,1998,08
108,fert_pollen,4,75,9,1666.2,NA,NA,NA,NA,NA,1998,08
109,pollen,8,64,24,3124.3,NA,NA,NA,NA,NA,1998,08
110,fert_pollen,3,57,9,1050.6,NA,NA,NA,NA,NA,1998,08
111,fert_pollen,7,60,23,2903.2,NA,NA,NA,NA,NA,1998,08
112,fert,7,64,16,2697.8,NA,NA,NA,NA,NA,1998,08
113,control,3,48,10,1960.3,NA,NA,NA,NA,NA,1998,08
114,fert_pollen,3,42,11,1742.1,NA,NA,NA,NA,NA,1998,08
115,control,6,68,17,2769,NA,NA,NA,NA,NA,1998,08
116,fert_pollen,6,75,14,3457.2,NA,NA,NA,NA,NA,1998,08
117,fert_pollen,3,78,8,1999.3,NA,NA,NA,NA,NA,1998,08
118,control,4,83,10,1688.6,NA,NA,NA,NA,NA,1998,08
120,pollen,10,103,27,5187.1,NA,NA,NA,NA,NA,1998,08
121,fert_pollen,5,51,14,1842.7,NA,NA,NA,NA,NA,1998,08
123,fert_pollen,4,62,15,2994.7,NA,NA,NA,NA,NA,1998,08
124,control,5,62,10,1621.6,NA,NA,NA,NA,NA,1998,08
125,control,3,61,8,1060.5,NA,NA,NA,NA,NA,1998,08
126,control,4,77,10,2999.5,NA,NA,NA,NA,NA,1998,08
127,fert,5,85,16,3993.7,NA,NA,NA,NA,NA,1998,08
128,fert_pollen,3,44,11,1612,NA,NA,NA,NA,NA,1998,08
129,fert,4,68,13,2306.5,NA,NA,NA,NA,NA,1998,08
130,fert_pollen,3,67,8,1373.4,NA,NA,NA,NA,NA,1998,08
131,fert_pollen,4,60,8,1010.8,NA,NA,NA,NA,NA,1998,08
132,control,2,62,8,1228.5,NA,NA,NA,NA,NA,1998,08
133,fert_pollen,4,80,15,3266.3,NA,NA,NA,NA,NA,1998,08
134,pollen,4,96,14,3654.9,NA,NA,NA,NA,NA,1998,08
135,fert_pollen,7,85,18,3291.2,NA,NA,NA,NA,NA,1998,08
136,fert,5,55,11,1878.4,NA,NA,NA,NA,NA,1998,08
137,fert_pollen,9,76,26,4080.3,NA,NA,NA,NA,NA,1998,08
138,pollen,4,69,9,1676.5,NA,NA,NA,NA,NA,1998,08
139,fert,4,112,7,1507.7,NA,NA,NA,NA,NA,1998,08
140,control,12,97,28,5373.6,NA,NA,NA,NA,NA,1998,08
141,control,3,58,8,1574,NA,NA,NA,NA,NA,1998,08
142,pollen,4,48,12,2122.4,NA,NA,NA,NA,NA,1998,08
143,fert_pollen,8,58,17,2025.4,NA,NA,NA,NA,NA,1998,08
144,fert,6,43,16,1829.9,NA,NA,NA,NA,NA,1998,08
145,pollen,3,62,8,1833.3,NA,NA,NA,NA,NA,1998,08
146,fert,9,99,24,4592.2,NA,NA,NA,NA,NA,1998,08
147,pollen,4,49,12,1436.6,NA,NA,NA,NA,NA,1998,08
148,fert,7,76,20,4201.6,NA,NA,NA,NA,NA,1998,08
149,pollen,5,70,11,2186.4,NA,NA,NA,NA,NA,1998,08
150,pollen,5,79,9,1343.2,NA,NA,NA,NA,NA,1998,08
151,fert_pollen,21,130,63,12872.6,NA,NA,NA,NA,NA,1998,08
152,pollen,8,94,24,4308.3,NA,NA,NA,NA,NA,1998,08
153,fert,10,54,22,2024.1,NA,NA,NA,NA,NA,1998,08
154,control,7,77,21,3086.8,NA,NA,NA,NA,NA,1998,08
155,fert_pollen,4,36,11,1747.3,NA,NA,NA,NA,NA,1998,08
156,control,6,84,20,3405.9,NA,NA,NA,NA,NA,1998,08
157,fert_pollen,12,70,27,4535.5,NA,NA,NA,NA,NA,1998,08
158,control,3,79,11,2234.8,NA,NA,NA,NA,NA,1998,08
159,pollen,4,62,18,4022.2,NA,NA,NA,NA,NA,1998,08
160,fert_pollen,6,90,17,4249.9,NA,NA,NA,NA,NA,1998,08
161,fert_pollen,4,80,14,2226.1,NA,NA,NA,NA,NA,1998,08
162,pollen,2,80,7,1089.1,NA,NA,NA,NA,NA,1998,08
163,fert,4,89,11,2558.5,NA,NA,NA,NA,NA,1998,08
164,pollen,4,66,15,2213.3,NA,NA,NA,NA,NA,1998,08
165,fert,4,74,11,2033.8,NA,NA,NA,NA,NA,1998,08
166,pollen,5,52,15,2421.5,NA,NA,NA,NA,NA,1998,08
167,fert,11,94,36,6516.9,NA,NA,NA,NA,NA,1998,08
168,fert,3,107,10,2686.9,NA,NA,NA,NA,NA,1998,08
